Index,Age,Temperature,Length
1,14,25ºC,620
2,28,25ºC,1315
3,41,25ºC,2120
4,55,25ºC,2600
5,69,25ºC,3110
6,83,25ºC,3535
7,97,25ºC,3935
8,111,25ºC,4465
9,125,25ºC,4530
10,139,25ºC,4570
11,153,25ºC,4600
12,14,27ºC,625
13,28,27ºC,1215
14,41,27ºC,2110
15,55,27ºC,2805
16,69,27ºC,3255
17,83,27ºC,4015
18,97,27ºC,4315
19,111,27ºC,4495
20,125,27ºC,4535
21,139,27ºC,4600
22,153,27ºC,4600
23,14,29ºC,590
24,28,29ºC,1305
25,41,29ºC,2140
26,55,29ºC,2890
27,69,29ºC,3920
28,83,29ºC,3920
29,97,29ºC,4515
30,111,29ºC,4520
31,125,29ºC,4525
32,139,29ºC,4565
33,153,29ºC,4566
34,14,31ºC,590
35,28,31ºC,1205
36,41,31ºC,1915
37,55,31ºC,2140
38,69,31ºC,2710
39,83,31ºC,3020
40,97,31ºC,3030
41,111,31ºC,3040
42,125,31ºC,3180
43,139,31ºC,3257
44,153,31ºC,3214
